domain,trust_score,blacklisted,ip_bad_count_bad,ssl_valid,ip_country,anonymous_whois,dnsblock_threat_count,whois_registration_duration,whois_valid_email,avg_review_score,facebook_comments_negative_count,facebook_comments_positive_count,scamadviser_votes_legit,scamadviser_votes_scam,scamadviser_votes_fake,is_legit
altcoins-exchange.com,1.0,0,0.12,1,BR,1,0,2.01,0,0.0,0.0,0.0,0,0,0,0
htx.com,100.0,0,0.17,1,US,1,0,28.62,1,1.32,0.0,0.0,0,0,0,1
okcoin.jp,72.0,0,0.0,1,JP,1,0,0.0,0,0.0,0.0,0.0,0,0,0,1
coinjab.net,41.0,0,0.04,1,DE,1,0,1.77,1,1.2,0.0,0.0,0,0,0,0
bitcoinoie.com,1.0,0,0.5,1,US,1,0,6.44,1,1.96,0.0,0.0,0,1,0,0
hugedomains.com,100.0,0,0.08,1,US,0,0,20.74,1,1.29,0.5,0.11,10,171,48,0
imtokenbe.com,22.0,0,0.28,1,US,1,0,1.97,0,1.0,0.0,0.0,0,3,2,0
xeggex.com,100.0,0,0.0,1,US,1,0,2.89,0,3.65,0.0,0.0,0,0,0,1
cryptextrading.com,41.0,0,0.18,1,DE,1,0,2.87,0,1.1,0.0,0.0,0,0,0,0
app.meteora.ag,1.0,0,0.16,1,US,1,0,1.62,0,0.0,0.0,0.0,0,0,0,1
greenhousedex.com,92.0,0,0.15,1,US,1,0,2.35,1,0.0,0.0,0.0,0,0,0,1
wannaswap.finance,65.0,0,0.05,0,US,1,0,2.79,0,0.0,0.0,0.0,0,0,0,1
yobit.net,30.0,0,0.67,1,RU,1,0,9.91,1,2.31,0.2,0.51,4,73,16,1
ww25.cointrademining.com,31.0,0,0.27,0,US,1,0,0.96,1,1.3,0.0,0.0,0,0,0,0
wagmi.com,100.0,0,0.08,1,US,1,0,14.25,0,2.0,0.0,0.0,0,0,0,1
cryptoning.com,42.0,0,0.0,1,DE,0,0,4.49,1,0.0,0.0,0.0,0,0,0,0
,44.5796847636,0,0.0,0,US,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0
veio.io,10.0,1,0.0,0,US,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0
bitstampnd.info,60.0,0,0.0,1,US,1,0,2.4,1,0.0,0.0,0.0,0,0,0,0
coinmate.io,100.0,0,0.06,1,US,1,0,10.61,1,3.97,0.0,0.0,0,0,0,1
dingpulse.com,100.0,0,0.18,1,US,1,0,2.27,0,0.0,0.0,0.0,0,0,0,1
kripto.btcturk.com,82.0,0,0.0,1,US,1,0,9.95,0,1.0,0.0,0.0,0,0,0,1
coinmicro.org,1.0,0,1.0,0,HK,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0
apexelitetrades.net,1.0,0,0.3,1,US,1,0,2.56,1,0.0,0.0,0.0,0,0,0,0
pancakeswap.finance,100.0,0,0.0,1,US,1,0,3.86,1,1.58,0.0,0.0,5,9,1,1
darwave.com,16.0,0,0.29,1,US,1,0,0.73,0,0.0,0.0,0.0,0,0,0,0
dalebit.com,1.0,0,0.1,1,BR,1,0,7.04,0,1.0,0.0,0.0,0,0,0,0
camolcoin.net,72.0,0,0.13,1,BR,1,0,2.11,1,0.0,1.0,0.0,1,1,0,0
hitbtc.com,1.0,0,0.2,1,US,1,0,12.82,0,1.43,0.19,0.42,1,19,3,1
traderup.com,1.0,0,0.33,1,US,1,0,10.07,1,3.0,0.0,0.0,0,0,0,0
app.degate.com,86.0,0,0.0,1,US,1,0,7.29,1,0.0,0.0,0.0,0,0,0,1
bitx.net,86.0,0,0.31,1,US,1,0,22.55,1,1.0,1.0,0.0,1,1,0,0
hugedomains.com,100.0,0,0.04,1,US,0,0,20.74,1,1.29,0.5,0.11,10,171,48,0
curve.fi,100.0,0,0.07,1,US,0,0,4.55,0,2.24,0.0,0.0,1,0,0,1
bilaxy.online,54.0,0,0.24,1,HK,1,0,2.4,0,0.0,0.0,0.0,0,0,0,0
app.wingriders.com,97.0,0,0.11,1,NL,1,0,10.99,1,0.0,0.0,0.0,0,0,0,1
coinmicro.org,1.0,0,1.0,0,HK,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0
app.9inch.io,62.0,0,1.0,1,US,1,0,1.33,1,1.0,0.0,0.0,0,0,0,1
fx-yongying.com,56.0,0,0.02,1,US,0,0,2.11,1,1.44,0.0,0.0,0,1,0,0
bakktexe.com,7.0,0,0.12,1,US,0,0,1.53,0,0.0,0.0,0.0,0,0,0,0
ism-agency.com,100.0,0,0.01,1,US,1,0,24.51,0,0.0,0.0,0.0,0,0,0,0
bitprud.com,1.0,0,0.48,1,US,1,3,1.63,1,1.3,0.0,0.0,0,0,0,0
cryptoquicker.com,13.0,0,0.0,0,US,1,0,0.79,0,0.0,0.0,0.0,0,0,0,0
finetero.com,1.0,0,0.03,1,US,1,0,3.82,0,1.82,0.0,0.0,0,12,8,0
swapr.eth.limo,87.0,0,0.0,1,US,1,0,3.12,0,0.0,0.0,0.0,0,0,0,1
bitblender.me,1.0,1,0.28,1,US,1,1,6.58,0,1.0,0.0,0.0,0,3,2,0
biconomy.com,1.0,0,0.02,1,US,1,0,7.13,0,2.04,0.0,0.0,0,3,1,1
